,alpha_1,alpha_2,alpha_3,from_vae
;d,1.000629186630249,1.9900617599487305,1.0093090534210205,True
</3,1.9942573308944702,1.0021228790283203,1.0036197900772095,True
<3,1.000067114830017,1.9979877471923828,1.0019452571868896,True
<:,1.0000509023666382,1.998116374015808,1.0018327236175537,True
<:-|,1.989107370376587,1.0005302429199219,1.0103623867034912,True
=),1.0000643730163574,1.9973444938659668,1.0025912523269653,True
=-3,1.0000087022781372,1.999596118927002,1.0003952980041504,True
=-D,1.0000255107879639,1.9995113611221313,1.0004630088806152,True
=-d,1.0000255107879639,1.9995113611221313,1.0004630088806152,True
=/,1.980698823928833,1.000762939453125,1.0185383558273315,True
=3,1.0000102519989014,1.9994454383850098,1.0005441904067993,True
=D,1.0000059604644775,1.9997799396514893,1.0002139806747437,True
=\,1.9823006391525269,1.0012091398239136,1.01649010181427,True
=],1.0000256299972534,1.9966906309127808,1.0032836198806763,True
=d,1.0000059604644775,1.9997799396514893,1.0002139806747437,True
=l,1.9823006391525269,1.0012091398239136,1.01649010181427,True
=p,1.000058650970459,1.9981229305267334,1.0018184185028076,True
=|,1.934589147567749,1.0105738639831543,1.0548369884490967,True
>-:,1.9940135478973389,1.0008398294448853,1.0051466226577759,True
>.<,1.9862679243087769,1.000626802444458,1.0131052732467651,True
>:,1.9924073219299316,1.00107741355896,1.006515383720398,True
>:(,1.9980270862579346,1.0005186796188354,1.00145423412323,True
>:),1.006118655204773,1.9631173610687256,1.0307639837265015,True
>:-(,1.9967753887176514,1.0008394718170166,1.002385139465332,True
>:-),1.5558321475982666,1.3622231483459473,1.0819447040557861,True
>:/,1.9929530620574951,1.0004944801330566,1.0065524578094482,True
>:[,1.996410846710205,1.0005606412887573,1.0030285120010376,True
>:\,1.993537187576294,1.0006767511367798,1.0057861804962158,True
>:o,1.969067096710205,1.009291410446167,1.021641492843628,True
>:p,1.0001513957977295,1.9911317825317383,1.0087168216705322,True
>;(,1.9974249601364136,1.0008485317230225,1.001726508140564,True
>;),1.1598131656646729,1.6376001834869385,1.2025866508483887,True
@:,1.9953317642211914,1.000672698020935,1.003995656967163,True
@>-->--,1.0000959634780884,1.9985008239746094,1.0014033317565918,True
@}-;-'---,1.0002162456512451,1.994964838027954,1.0048189163208008,True
O.o,1.870295763015747,1.026469349861145,1.1032350063323975,True
[-;,1.005000352859497,1.9624037742614746,1.0325959920883179,True
[:,1.0000215768814087,1.9971885681152344,1.0027897357940674,True
[;,1.0003588199615479,1.9963372945785522,1.0033038854599,True
[=,1.0000113248825073,1.999206781387329,1.0007818937301636,True
\-:,1.9746655225753784,1.0030778646469116,1.02225661277771,True
\:,1.9697482585906982,1.000558614730835,1.0296932458877563,True
\:<,1.9920132160186768,1.0016428232192993,1.0063440799713135,True
\=,1.9775290489196777,1.0005561113357544,1.0219148397445679,True
\^:,1.9862679243087769,1.000626802444458,1.0131052732467651,True
\o/,1.000028133392334,1.9993953704833984,1.0005764961242676,True
\o:,1.9826656579971313,1.0005816221237183,1.0167527198791504,True
]-:,1.996410846710205,1.0005606412887573,1.0030285120010376,True
]:,1.9925204515457153,1.0006353855133057,1.006844162940979,True
]:<,1.995780348777771,1.0009503364562988,1.0032691955566406,True
^urs,1.9982256889343262,1.0005601644515991,1.0012141466140747,True
a+,1.047011137008667,1.914825201034546,1.0381637811660767,True
a-okay,1.234553337097168,1.4863287210464478,1.2791179418563843,True
aas,1.0000207424163818,1.9992454051971436,1.0007338523864746,True
aayf,1.000026822090149,1.999464511871338,1.0005087852478027,True
abactinal,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abandon,3.0170459747314453,1.6673880815505981,1.3155661821365356,True
abandoned,3.192943572998047,2.22268009185791,1.584376335144043,True
abandoner,1.99611496925354,1.0004451274871826,1.0034397840499878,True
abandoners,1.9946837425231934,1.0010093450546265,1.0043069124221802,True
abandoning,1.9929530620574951,1.0004944801330566,1.0065524578094482,True
abandonment,3.0133538246154785,1.6715370416641235,1.3151096105575562,True
abandonments,1.9926660060882568,1.0009042024612427,1.0064297914505005,True
abandons,1.9808168411254883,1.0028122663497925,1.0163710117340088,True
abase,1.336281180381775,1.484839677810669,1.1788790225982666,True
abasement,2.0040297508239746,1.655914068222046,1.3400561809539795,True
abash,1.309169054031372,1.5104334354400635,1.1803975105285645,True
abashed,1.3404123783111572,1.4809556007385254,1.1786320209503174,True
abashment,1.3070693016052246,1.5124232769012451,1.1805073022842407,True
abasia,1.288160800933838,1.5304057598114014,1.1814334392547607,True
abatable,1.1946274042129517,1.579697847366333,1.2256747484207153,True
abate,2.026313304901123,1.6627553701400757,1.3109313249588013,True
abatement,1.3259010314941406,1.4946180582046509,1.179480791091919,True
abatic,1.26370108127594,1.4808636903762817,1.2554352283477783,True
abattoir,1.309169054031372,1.5104334354400635,1.1803975105285645,True
abaxially,1.2965518236160278,1.5224106311798096,1.181037425994873,True
abbandono,1.0864946842193604,1.7345949411392212,1.1789103746414185,True
abbatial,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abbreviate,1.1586107015609741,1.6574680805206299,1.1839210987091064,True
abc,1.313363790512085,1.5064617395401,1.1801745891571045,True
abdel,1.0819001197814941,1.7396862506866455,1.1784136295318604,True
abdicable,1.2123650312423706,1.5548746585845947,1.2327603101730347,True
abdicate,2.0158822536468506,1.6726014614105225,1.311516523361206,True
abdication,1.3154584169387817,1.5044801235198975,1.1800614595413208,True
abdomen,1.076606035232544,1.745517611503601,1.1778764724731445,True
abdominal,1.4225753545761108,2.1018619537353516,1.475562572479248,True
abdominoplasty,1.0800669193267822,1.741710901260376,1.1782220602035522,True
abdominovesical,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abduct,1.2474579811096191,1.5695711374282837,1.1829708814620972,True
abducted,1.9961795806884766,1.0011457204818726,1.0026746988296509,True
abducting,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abduction,2.325251579284668,1.4935039281845093,1.1812443733215332,True
abductions,1.9923133850097656,1.002200961112976,1.0054856538772583,True
abductor,1.0805755853652954,1.741149663925171,1.1782747507095337,True
abecedarian,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abelisauridae,1.3154584169387817,1.5044801235198975,1.1800614595413208,True
aberdonian,1.2448697090148926,1.463590383529663,1.2915397882461548,True
aberrance,1.3279825448989868,1.4926553964614868,1.1793620586395264,True
aberrancy,1.3175512552261353,1.5025014877319336,1.1799472570419312,True
aberrant,1.3112671375274658,1.508446216583252,1.1802866458892822,True
aberrantly,1.0752421617507935,1.7470102310180664,1.1777476072311401,True
aberration,1.9727166891098022,1.685490369796753,1.3417930603027344,True
abetalipoproteinemia,1.3070693016052246,1.5124232769012451,1.1805073022842407,True
abhominable,1.288160800933838,1.5304057598114014,1.1814334392547607,True
abhor,3.575979232788086,1.9448045492172241,1.4792165756225586,True
abhorred,2.653995990753174,1.1773737668991089,1.1686303615570068,True
abhorrence,1.2133691310882568,1.6028553247451782,1.1837756633758545,True
abhorrent,2.8677220344543457,1.7785935401916504,1.353684663772583,True
abhorrently,1.6677485704421997,1.171074390411377,1.161177158355713,True
abhorreth,1.2188475131988525,1.597473382949829,1.1836791038513184,True
abhors,2.6413493156433105,1.1888009309768677,1.1698498725891113,True
abidance,1.134861946105957,2.6502609252929688,1.2148771286010742,True
abide,1.258872628211975,3.496695041656494,1.2444323301315308,True
abideth,1.0858657360076904,1.7352927923202515,1.1788413524627686,True
abience,1.336281180381775,1.484839677810669,1.1788790225982666,True
abient,1.2208070755004883,1.5532450675964355,1.2259477376937866,True
abilities,1.0001254081726074,1.9931081533432007,1.0067663192749023,True
ability,1.196388602256775,3.5940654277801514,1.2095458507537842,True
abimelech,1.2839900255203247,1.534389853477478,1.1816201210021973,True
abiogenetic,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abject,2.9423303604125977,2.355562448501587,1.7021074295043945,True
abjection,1.2573966979980469,1.559953212738037,1.1826502084732056,True
abjectly,1.3070693016052246,1.5124232769012451,1.1805073022842407,True
abjure,1.2986574172973633,1.5204085111618042,1.1809340715408325,True
abkhazian,1.2448697090148926,1.463590383529663,1.2915397882461548,True
ablate,1.321730613708496,1.4985533952713013,1.179715871810913,True
ablated,1.2544214725494385,1.461851954460144,1.283726692199707,True
ablative,1.2193580865859985,1.5210506916046143,1.2595913410186768,True
ablaut,1.0839331150054932,1.7374358177185059,1.178631067276001,True
ablaze,1.3297244310379028,2.200004816055298,1.4702707529067993,True
able,1.4187685251235962,4.063269138336182,1.5179622173309326,True
able-bodied,1.224392294883728,1.5093971490859985,1.2662104368209839,True
ablest,1.0831736326217651,1.7382769584655762,1.1785492897033691,True
ablution,1.3342108726501465,1.486788272857666,1.1790008544921875,True
abnaki,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abnegate,1.3445297479629517,1.4770925045013428,1.1783778667449951,True
abnormal,3.5506339073181152,2.5427017211914062,1.9066643714904785,True
abnormalcy,1.3279825448989868,1.4926553964614868,1.1793620586395264,True
abnormality,1.3279825448989868,1.4926553964614868,1.1793620586395264,True
aboard,1.1520836353302002,1.6452531814575195,1.2026633024215698,True
abode,1.1557368040084839,1.6603738069534302,1.1838895082473755,True
aboleth,1.3049681186676025,1.514415979385376,1.1806159019470215,True
abolish,2.482412815093994,2.026977062225342,1.490610122680664,True
abolishable,1.1946274042129517,1.579697847366333,1.2256747484207153,True
abolition,1.2819111347198486,1.5363786220550537,1.1817102432250977,True
abolitionary,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abomasal,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abomasum,1.1573114395141602,1.6587803363800049,1.183908224105835,True
abominable,3.377621650695801,1.974599838256836,1.6477785110473633,True
abominably,2.5534000396728516,1.9249951839447021,1.5216047763824463,True
abominate,1.878328561782837,1.761111855506897,1.3605597019195557,True
abomination,1.878328561782837,1.761111855506897,1.3605597019195557,True
abominator,1.3049681186676025,1.514415979385376,1.1806159019470215,True
aboot,1.1615287065505981,1.6545240879058838,1.183947205543518,True
aboral,1.2448697090148926,1.463590383529663,1.2915397882461548,True
aboriginal,1.4027575254440308,2.121788501739502,1.4754539728164673,True
abort,1.995020866394043,1.6489527225494385,1.356026530265808,True
aborted,1.66495943069458,1.1582565307617188,1.1767840385437012,True
abortifacient,1.2753794193267822,1.4579439163208008,1.266676664352417,True
abortion,1.3279825448989868,1.4926553964614868,1.1793620586395264,True
abortionist,1.0745705366134644,1.7477434873580933,1.177686095237732,True
abortive,1.3112671375274658,1.508446216583252,1.1802866458892822,True
aborts,1.66495943069458,1.1582565307617188,1.1767840385437012,True
abortus,1.3486324548721313,1.4732508659362793,1.1781166791915894,True
abound,1.164581537246704,3.5961034297943115,1.2393152713775635,True
abounds,1.047011137008667,1.914825201034546,1.0381637811660767,True
above,1.3850947618484497,3.116722583770752,1.498182773590088,True
above-average,1.0540672540664673,1.9093531370162964,1.0365796089172363,True
above-named,1.2544214725494385,1.461851954460144,1.283726692199707,True
aboveground,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abowte,1.2188475131988525,1.597473382949829,1.1836791038513184,True
abracadabra,1.0755805969238281,1.7466403245925903,1.1777790784835815,True
abrade,1.9846014976501465,1.6587824821472168,1.3566161394119263,True
abrasion,1.1777056455612183,1.6382715702056885,1.1840227842330933,True
abrasive,3.202498435974121,2.1439640522003174,1.6535377502441406,True
abrasively,1.3196420669555664,1.500525951385498,1.179832100868225,True
abreaction,1.0839331150054932,1.7374358177185059,1.178631067276001,True
abridge,1.0798500776290894,1.7419501543045044,1.1781997680664062,True
abridged,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abridgement,1.1544595956802368,1.6616690158843994,1.1838712692260742,True
abroad,1.0820488929748535,1.7395217418670654,1.178429365158081,True
abrogate,1.3196420669555664,1.500525951385498,1.179832100868225,True
abrogation,1.3279825448989868,1.4926553964614868,1.1793620586395264,True
abrupt,3.5822205543518066,2.529442310333252,1.8883371353149414,True
abruptly,1.976226568222046,1.6667027473449707,1.3570706844329834,True
abruptness,1.2923482656478882,1.5264126062393188,1.181239128112793,True
abscessed,1.5583325624465942,2.0020318031311035,1.4396355152130127,True
abscission,1.288160800933838,1.5304057598114014,1.1814334392547607,True
abscond,2.685020923614502,1.8269098997116089,1.4880691766738892,True
abseil,1.3154584169387817,1.5044801235198975,1.1800614595413208,True
absence,2.5933423042297363,1.9148625135421753,1.4917951822280884,True
absent,2.3038432598114014,2.1470627784729004,1.5490940809249878,True
absent-minded,3.3506808280944824,1.9999568462371826,1.649362564086914,True
absentee,4.294706344604492,2.032965660095215,1.672327995300293,True
absenteeism,1.0850093364715576,1.7362427711486816,1.1787478923797607,True
absentees,1.9433953762054443,1.0052913427352905,1.0513134002685547,True
absently,1.1246544122695923,1.6926828622817993,1.1826627254486084,True
absolute,2.0533509254455566,2.3557777404785156,1.5908713340759277,True
absolutely,1.7412586212158203,1.9199726581573486,1.338768720626831,True
absolution,1.0718231201171875,1.750727653503418,1.1774492263793945,True
absolutism,1.321730613708496,1.4985533952713013,1.179715871810913,True
absolutist,1.3007621765136719,1.5184085369110107,1.1808292865753174,True
absolutistic,1.2448697090148926,1.463590383529663,1.2915397882461548,True
absolutive,1.3049681186676025,1.514415979385376,1.1806159019470215,True
absolve,1.121233582496643,3.6765615940093994,1.2022048234939575,True
absolved,1.0802630186080933,2.7376725673675537,1.1820645332336426,True
absolves,1.0001559257507324,1.9917657375335693,1.0080783367156982,True
absolving,1.0000256299972534,1.9966906309127808,1.0032836198806763,True
absolvitory,1.0920512676239014,1.728421926498413,1.1795268058776855,True
absorb,1.0860224962234497,1.7351188659667969,1.1788585186004639,True
absorbable,1.2044187784194946,1.5563833713531494,1.2391977310180664,True
absorbed,1.2448697090148926,1.463590383529663,1.2915397882461548,True
absorbent,1.2039542198181152,2.588205099105835,1.2078406810760498,True
absorbing,1.0873677730560303,1.7336256504058838,1.179006576538086,True
absorption,1.133133888244629,2.6642844676971436,1.202581763267517,True
absorptive,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abstemious,1.3281946182250977,2.20169997215271,1.4701052904129028,True
abstemiousal,1.0875275135040283,1.7334481477737427,1.1790242195129395,True
abstemiousness,1.2798364162445068,1.5383652448654175,1.1817983388900757,True
abstention,1.1219152212142944,1.695615291595459,1.1824694871902466,True
absterge,1.0796338319778442,1.742188572883606,1.1781775951385498,True
abstinance,1.3007621765136719,1.5184085369110107,1.1808292865753174,True
abstinence,1.330061435699463,1.4906961917877197,1.179242491722107,True
abstinent,1.607790470123291,1.9636508226394653,1.428558588027954,True
abstract,1.3881421089172363,2.1367180347442627,1.4751396179199219,True
abstraction,1.142353892326355,1.6740777492523193,1.1835682392120361,True
abstractionism,1.1841257810592651,1.631853461265564,1.184020757675171,True
abstractive,1.2143490314483643,1.5327800512313843,1.252871036529541,True
abstractly,1.0763310194015503,1.745818853378296,1.1778501272201538,True
abstruse,1.0771592855453491,1.744910717010498,1.1779299974441528,True
abstruseness,1.338348388671875,1.4828951358795166,1.1787564754486084,True
abstrusity,1.338348388671875,1.4828951358795166,1.1787564754486084,True
absurd,3.562939167022705,2.534712314605713,1.9023487567901611,True
absurdism,1.080941081047058,1.7407461404800415,1.1783127784729004,True
absurdist,1.1558793783187866,1.6602293252944946,1.1838912963867188,True
absurdity,2.661947727203369,1.8487650156021118,1.4892873764038086,True
absurdly,2.6481664180755615,1.8338110446929932,1.5180225372314453,True
absurdness,1.66495943069458,1.1582565307617188,1.1767840385437012,True
abugida,1.3070693016052246,1.5124232769012451,1.1805073022842407,True
abulic,1.3109467029571533,1.4502142667770386,1.238839030265808,True
abundance,1.2467758655548096,3.507296323776245,1.2459276914596558,True
abundant,1.57289719581604,4.869029998779297,1.558072805404663,True
abundantly,1.0797779560089111,1.7420297861099243,1.178192377090454,True
abusable,1.3445297479629517,1.4770925045013428,1.1783778667449951,True
abuse,4.218498229980469,2.126284599304199,1.655217170715332,True
abused,2.8837897777557373,1.6901577711105347,1.426052451133728,True
abuser,1.998618483543396,1.0003455877304077,1.0010359287261963,True
abusers,1.996951937675476,1.0012396574020386,1.0018082857131958,True
abuses,3.3313815593719482,1.329715609550476,1.3389029502868652,True
abusing,1.9858818054199219,1.0038496255874634,1.0102685689926147,True
abusive,3.9750494956970215,2.274808883666992,1.7501413822174072,True
abusively,2.234001874923706,1.5814834833145142,1.1845146417617798,True
abusiveness,1.9957993030548096,1.0009340047836304,1.0032668113708496,True
abusivenesses,1.9975908994674683,1.0009543895721436,1.0014547109603882,True
abut,1.0793465375900269,1.7425053119659424,1.1781482696533203,True
abuzz,1.309169054031372,1.5104334354400635,1.1803975105285645,True
abysmal,2.651089668273926,2.581521511077881,1.7673888206481934,True
abysmally,2.5723447799682617,1.9064967632293701,1.5211586952209473,True
abyss,2.6871073246002197,1.8249406814575195,1.4879521131515503,True
abyssal,1.2448697090148926,1.463590383529663,1.2915397882461548,True
abyssinicum,1.2839900255203247,1.534389853477478,1.1816201210021973,True
academe,1.0711860656738281,1.751415729522705,1.1773982048034668,True
academese,1.342472791671753,1.4790213108062744,1.178505778312683,True
